guid/image,conf,label,xmin,ymin,xmax,ymax
e024982a-233f-45b4-a6ec-505f5b0c2649/0060,0.9787572026252747,0,0.361,0.043,0.695,0.637
e024982a-233f-45b4-a6ec-505f5b0c2649/0074,0.9817201495170593,0,0.369,0.016,0.710,0.581
e024982a-233f-45b4-a6ec-505f5b0c2649/0055,0.9791800379753113,0,0.376,0.054,0.714,0.584
e024982a-233f-45b4-a6ec-505f5b0c2649/0041,0.9683760404586792,0,0.362,0.033,0.721,0.579
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0006,0.9750940203666687,0,0.364,0.071,0.671,0.579
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0012,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0033,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0049,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0027,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0044,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0050,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0035,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0021,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0000,0.9869219064712524,0,0.357,0.068,0.658,0.556
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0014,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0042,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0038,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0019,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0013,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0007,0.9707525968551636,0,0.368,0.073,0.681,0.570
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0026,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0032,0.5528562664985657,1,0.000,0.324,0.338,0.738
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0048,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0051,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0045,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0020,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0034,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0015,0,0,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0001,0.9914954900741577,0,0.352,0.073,0.638,0.558
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0043,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0039,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0018,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0031,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0025,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0004,0.9751976132392883,0,0.374,0.066,0.671,0.587
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0010,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0046,0.5391117334365845,2,0.078,0.000,0.658,0.661
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0052,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0028,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0009,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0002,0.9840019941329956,0,0.382,0.065,0.680,0.586
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0016,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0037,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0023,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0040,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0024,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0030,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0011,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0005,0.9822001457214355,0,0.378,0.068,0.670,0.579
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0029,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0047,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0008,0.9655343890190125,0,0.372,0.070,0.684,0.568
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0017,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0003,0.9817341566085815,0,0.377,0.062,0.672,0.582
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0022,0,2,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0036,0,1,-1,-1,-1,-1
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0041,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0006,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0140,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0154,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0012,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0068,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0175,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0033,0.7929072380065918,1,0.036,0.368,0.366,0.608
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0080,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0049,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0094,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0027,0.7347800731658936,1,0.274,0.345,0.357,0.432
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0161,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0071,0.9057145714759827,1,0.032,0.374,0.365,0.601
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0137,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0159,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0123,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0065,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0178,0,0,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0102,0,0,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0044,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0050,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0099,0,0,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0116,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0109,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0086,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0035,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0173,0.6533748507499695,1,0.285,0.356,0.443,0.508
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0167,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0021,0,0,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0092,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0146,0.6579444408416748,1,0.000,0.325,0.302,0.603
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0000,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0128,0.5218666195869446,1,0.352,0.371,0.512,0.509
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0014,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0152,0.8104214668273926,1,0.123,0.395,0.333,0.582
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0042,0.6138215661048889,1,0.000,0.323,0.206,0.634
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0104,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0038,0.533320963382721,1,0.256,0.393,0.322,0.454
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0110,0.6603263020515442,1,0.310,0.380,0.376,0.459
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0056,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0182,0.6498869061470032,1,0.339,0.299,0.674,0.672
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0131,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0077,0.912222683429718,1,0.388,0.242,0.853,0.723
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0063,0.6108164191246033,1,0.000,0.362,0.196,0.561
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0125,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0019,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0013,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0155,0.7414646148681641,1,0.134,0.429,0.285,0.569
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0069,0,0,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0141,0.5993558764457703,1,0.436,0.356,0.488,0.407
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0007,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0095,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0160,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0026,0.5014204978942871,1,0.278,0.341,0.345,0.409
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0032,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0174,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0081,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0048,0.9704393744468689,1,0.149,0.394,0.369,0.563
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0158,0,0,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0064,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0122,0.9444870352745056,1,0.126,0.372,0.392,0.575
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0136,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0070,0.5517418384552002,1,0.316,0.397,0.439,0.497
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0117,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0051,0,0,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0098,0.5854892134666443,1,0.333,0.408,0.407,0.492
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0179,0.6146067976951599,1,0.242,0.311,0.565,0.626
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0045,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0103,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0020,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0166,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0093,0,0,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0087,0,0,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0108,0,0,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0172,0.5162056684494019,1,0.381,0.396,0.493,0.490
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0034,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0129,0.8534526824951172,1,0.161,0.351,0.462,0.595
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0153,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0015,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0001,0.596938967704773,1,0.438,0.403,0.503,0.457
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0147,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0057,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0111,0.6023151278495789,1,0.288,0.366,0.394,0.477
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0105,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0043,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0039,0.5477448105812073,1,0.259,0.405,0.329,0.473
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0124,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0062,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0018,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0076,0.857496440410614,1,0.395,0.252,0.860,0.728
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0130,0,0,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0177,0.656031608581543,1,0.225,0.297,0.560,0.624
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0031,0.5041424632072449,1,0.422,0.368,0.488,0.452
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0082,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0119,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0096,0.5562348961830139,1,0.332,0.412,0.404,0.482
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0025,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0163,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0138,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0004,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0142,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0156,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0010,0.9403344392776489,1,0.093,0.377,0.306,0.530
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0100,0.5476691722869873,1,0.272,0.397,0.368,0.488
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0046,0.6243769526481628,1,0.360,0.406,0.426,0.471
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0052,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0114,0.788696825504303,1,0.000,0.260,0.327,0.644
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0028,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0073,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0135,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0009,0.7106844782829285,1,0.170,0.343,0.279,0.440
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0121,0.5489420890808105,1,0.273,0.361,0.410,0.509
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0067,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0144,0.663027822971344,1,0.360,0.338,0.466,0.461
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0002,0,0,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0078,0.8561810255050659,1,0.394,0.246,0.869,0.719
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0016,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0150,0.5487062335014343,1,0.273,0.414,0.359,0.495
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0084,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0037,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0171,0.5315980911254883,1,0.422,0.385,0.519,0.475
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0165,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0023,0,2,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0090,0.742500901222229,1,0.321,0.383,0.405,0.477
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0059,0,1,-1,-1,-1,-1
970fdcc0-a7d2-494b-bbed-5660aaf1f7c7/0180,0.5537540912628174,1,0.300,0.351,0.552,0.613
